configuration,baseline,seed,open_pp,run_mean,density_variance,axis_bias,largest_open_square
control-rnd99-unlimited,tweak-rnd99,303,0.1922222222222274,0.05156518219349726,3.522223013418689e-05,0.0018631938458765957,0
control-rnd99-lim5,tweak-rnd99,101,-0.16444444444444173,-0.043934734810335385,5.0927225748698146e-05,-0.0026470733758844193,-1
control-rnd99-lim5,tweak-rnd99,202,-0.29000000000000625,-0.01409255806866172,-7.372103090639469e-05,-0.0012356648899552263,1
control-rnd99-lim5,tweak-rnd99,303,-0.5966666666666498,-0.054646762923815206,-4.4905768500434e-05,-0.000783487904943796,1
control-rnd99-onepass,tweak-rnd99,101,-0.2466666666666697,-0.019495685292011622,1.734951160572198e-05,-0.00014424056760639322,0
control-rnd99-onepass,tweak-rnd99,202,-0.2666666666666657,-0.020789893168486007,-2.00653076171879e-06,-5.8725185259015896e-05,0
control-rnd99-onepass,tweak-rnd99,303,-0.2622222222222206,-0.016812842905062908,2.2328383834273725e-05,-0.0001765171098936975,0
control-rnd99-keepends,tweak-rnd99,101,0.0,0.0,0.0,0.0,0
control-rnd99-keepends,tweak-rnd99,202,0.0,0.0,0.0,0.0,0
control-rnd99-keepends,tweak-rnd99,303,0.002222222222229675,-6.280702974015284e-05,1.8657543041089033e-06,1.4137949935657916e-08,0
control-rnd99-wander5,tweak-rnd99,101,0.0,0.014384728849713646,8.722375940393469e-06,-0.002610043196288048,-1
control-rnd99-wander5,tweak-rnd99,202,0.0033333333333303017,-0.0008671735249201618,-0.00011844121085272902,-0.002695279041263617,1
control-rnd99-wander5,tweak-rnd99,303,-0.15222222222222115,0.012087308943647734,5.4959897641782235e-06,0.0004414303692434798,1
control-rnd99-wanderfull,tweak-rnd99,101,0.3299999999999983,0.021230788087098773,7.278611924913241e-06,-0.004266665533132094,-1
control-rnd99-wanderfull,tweak-rnd99,202,-0.15222222222222115,-0.002403257029933492,-2.686836101390604e-06,0.0004207439529944286,1
control-rnd99-wanderfull,tweak-rnd99,303,0.08666666666667311,0.014310790668044415,1.6555556544551296e-05,0.001603130431272872,1
control-rnd99-wander8steps,tweak-rnd99,101,0.2911111111111069,0.014763843079837802,-4.1632782971417516e-05,-0.0012707800287881524,-1
control-rnd99-wander8steps,tweak-rnd99,202,0.04888888888888232,0.011846075550194346,-4.377000596788211e-05,-0.0027632720113616245,1
control-rnd99-wander8steps,tweak-rnd99,303,-0.352222222222224,-0.011517979908623133,0.0001300420937714753,9.474546512770949e-05,1
control-last-unlimited,tweak-last,101,4.49111111111111,0.48786765286953093,0.0021728457839400666,-0.003720029634480109,29
control-last-unlimited,tweak-last,202,1.8666666666666742,0.11974372593806981,0.0006040424947385433,0.007397697688578137,14
control-last-unlimited,tweak-last,303,2.319999999999993,0.13631070413670976,0.0004401114004629632,0.003520608406239552,13
control-last-lim5,tweak-last,101,-1.7822222222222308,-0.14909849533527675,-9.328757392035824e-06,0.0005994198933274419,-2
control-last-lim5,tweak-last,202,-2.3044444444444423,-0.21146022565516365,-4.324319274337185e-05,-0.001005968442505984,0
control-last-lim5,tweak-last,303,-2.1388888888888857,-0.2134189787526637,7.45459662543404e-05,-0.00086107784068165,0
control-last-onepass,tweak-last,101,-0.40222222222222115,-0.030120121292050772,-1.8961147025779908e-05,-0.0003221966887796851,0
control-last-onepass,tweak-last,202,-0.45111111111110347,-0.03476291108301144,-1.5918590404369348e-06,-0.00011052616809451585,0
control-last-onepass,tweak-last,303,-0.47333333333332916,-0.0329721048465208,-4.593775007459902e-06,-7.324540149961133e-05,0
control-last-keepends,tweak-last,101,0.0,0.0,0.0,0.0,0
control-last-keepends,tweak-last,202,0.0,0.0,0.0,0.0,0
control-last-keepends,tweak-last,303,0.010000000000005116,-0.00035581556850772245,1.4592488606772784e-06,-3.40511896584387e-05,0
control-last-wander5,tweak-last,101,0.5499999999999972,0.05579924694543292,-6.076014483416569e-05,0.0005921401202419489,-1
control-last-wander5,tweak-last,202,0.07888888888889767,0.010166124687324807,8.165675975658273e-05,-0.0011235891997750424,0
control-last-wander5,tweak-last,303,0.1444444444444457,-0.0002533601824823428,6.919465241608807e-05,0.000981346281472463,0
control-last-wanderfull,tweak-last,101,0.4833333333333343,0.0464160081197833,1.953202706796121e-05,-0.0009365448637908811,-1
control-last-wanderfull,tweak-last,202,-0.15222222222222115,-0.02068532920822097,7.547998781557455e-05,-0.0011049563452803167,0
control-last-wanderfull,tweak-last,303,-0.05666666666665776,-0.0030596046934752152,3.654301961263025e-05,0.0017103831179968527,1
control-last-wander8steps,tweak-last,101,0.1666666666666572,0.019000761551114298,-3.4901777903239325e-05,-0.0024197129257364507,0
control-last-wander8steps,tweak-last,202,-0.2588888888888903,-0.032941127674742,-1.8355005758779856e-05,0.0002469655154545195,0
control-last-wander8steps,tweak-last,303,-0.8599999999999994,-0.07532275511801068,-1.245286729600694e-05,-0.0006606992552989908,-1
control-2lim10-unlimited,tweak-2lim10,101,0.6177777777777607,0.05057112093840921,0.0003146095028630008,-0.006639889779431178,1
control-2lim10-unlimited,tweak-2lim10,202,2.382222222222225,0.38833914376644607,0.0009526173626935045,-0.004289528303870324,2
control-2lim10-unlimited,tweak-2lim10,303,2.248888888888885,0.1206947972205974,0.0009145219061109753,-0.015277186624083337,1
control-2lim10-lim5,tweak-2lim10,101,-2.5333333333333314,-0.33287604276709937,0.00011974131619488755,-0.002694702630730536,0
control-2lim10-lim5,tweak-2lim10,202,-2.428888888888892,-0.34910664923791135,3.9420534063268814e-05,0.0016160324435704051,0
control-2lim10-lim5,tweak-2lim10,303,-2.612222222222215,-0.3628759451857797,-5.270693037245141e-06,0.0011523968930997398,0
control-2lim10-onepass,tweak-2lim10,101,-0.3844444444444548,-0.02700915215103805,-3.633612173574891e-06,-0.0005192756347929142,0
control-2lim10-onepass,tweak-2lim10,202,-0.4044444444444366,-0.030637255718895418,9.556173395227567e-06,-0.0001883967469238733,0
control-2lim10-onepass,tweak-2lim10,303,-0.37999999999999545,-0.028120812143063834,-2.2314368353949695e-05,-0.0008140084010825954,0
control-2lim10-keepends,tweak-2lim10,101,0.0,0.0,0.0,0.0,0
control-2lim10-keepends,tweak-2lim10,202,0.0,0.0,0.0,0.0,0
control-2lim10-keepends,tweak-2lim10,303,0.0033333333333303017,-0.0001668559615377596,-2.202348355893641e-06,-1.0515515668370638e-05,0
control-2lim10-wander5,tweak-2lim10,101,0.19666666666665833,0.03984570447130453,6.5463090825964e-05,-0.0037953805030876923,-1
control-2lim10-wander5,tweak-2lim10,202,0.12333333333333485,0.017519338935938045,-2.5498863502784893e-05,0.0011603743536247515,1
control-2lim10-wander5,tweak-2lim10,303,0.02444444444445537,-0.02197908444956198,-1.1009894476996543e-05,0.0014558022479788588,0
control-2lim10-wanderfull,tweak-2lim10,101,0.3655555555555452,0.06312485658304823,1.7291634171097154e-06,-0.004196118275474192,0
control-2lim10-wanderfull,tweak-2lim10,202,0.5077777777777897,0.04471485018254384,4.0872266557481936e-05,-0.001158022322654897,1
control-2lim10-wanderfull,tweak-2lim10,303,0.26777777777778056,0.013120725414735634,-9.037155575222588e-06,0.0018501620375737057,0
control-2lim10-wander8steps,tweak-2lim10,101,-0.0800000000000125,0.010797324022366883,3.7520574640344863e-05,-0.0007528931324702855,-1
control-2lim10-wander8steps,tweak-2lim10,202,0.14333333333334508,0.009589195440771192,2.250602510240368e-05,0.0006961177016609988,0
control-2lim10-wander8steps,tweak-2lim10,303,-0.04111111111110688,-0.015005535878257703,1.6028828091090074e-06,0.002269268848934269,1
